Dataflow,Geographic Area,Indicator,Sex,Time Period,Observation Value,Unit Multiplier,Unit of Measure,Observation Status,Observation Confidentaility,Lower Bound,Upper Bound,Weighted Sample Size,Observation Footnote,Series Footnote,Data Source,Citation of or link to the data source,Custodian,Time period activity related to when the data are collected,Reference Period,The period of time for which data are provided,Current Age
Cross-sector Indicators,Afghanistan,Total population,Total,2018,37171.921,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Albania,Total population,Total,2018,2882.74,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Algeria,Total population,Total,2018,42228.408,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Andorra,Total population,Total,2018,77.006,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Angola,Total population,Total,2018,30809.787,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Antigua and Barbuda,Total population,Total,2018,96.286,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Azerbaijan,Total population,Total,2018,9949.537,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Argentina,Total population,Total,2018,44361.15,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Australia,Total population,Total,2018,24898.152,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Austria,Total population,Total,2018,8891.388,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Bahamas,Total population,Total,2018,385.637,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Bahrain,Total population,Total,2018,1569.446,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Bangladesh,Total population,Total,2018,161376.708,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Armenia,Total population,Total,2018,2951.745,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Barbados,Total population,Total,2018,286.641,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Belgium,Total population,Total,2018,11482.178,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Bhutan,Total population,Total,2018,754.388,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Bolivia (Plurinational State of),Total population,Total,2018,11353.142,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Bosnia and Herzegovina,Total population,Total,2018,3323.925,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Botswana,Total population,Total,2018,2254.068,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Brazil,Total population,Total,2018,209469.323,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Belize,Total population,Total,2018,383.071,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Solomon Islands,Total population,Total,2018,652.857,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,British Virgin Islands,Total population,Total,2018,29.802,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Brunei Darussalam,Total population,Total,2018,428.963,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Bulgaria,Total population,Total,2018,7051.608,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Myanmar,Total population,Total,2018,53708.32,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Burundi,Total population,Total,2018,11175.374,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Belarus,Total population,Total,2018,9452.617,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Cambodia,Total population,Total,2018,16249.792,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Cameroon,Total population,Total,2018,25216.267,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Canada,Total population,Total,2018,37074.562,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Cabo Verde,Total population,Total,2018,543.767,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Central African Republic,Total population,Total,2018,4666.368,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Sri Lanka,Total population,Total,2018,21228.763,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Chad,Total population,Total,2018,15477.729,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Chile,Total population,Total,2018,18729.16,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,China,Total population,Total,2018,1427647.786,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Colombia,Total population,Total,2018,49661.048,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Comoros,Total population,Total,2018,832.322,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Congo,Total population,Total,2018,5244.359,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Democratic Republic of the Congo,Total population,Total,2018,84068.091,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Cook Islands,Total population,Total,2018,17.518,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Costa Rica,Total population,Total,2018,4999.441,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Croatia,Total population,Total,2018,4156.405,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Cuba,Total population,Total,2018,11338.134,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Cyprus,Total population,Total,2018,1189.265,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Czechia,Total population,Total,2018,10665.677,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Benin,Total population,Total,2018,11485.044,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Denmark,Total population,Total,2018,5752.126,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Dominica,Total population,Total,2018,71.625,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Dominican Republic,Total population,Total,2018,10627.141,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Ecuador,Total population,Total,2018,17084.358,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,El Salvador,Total population,Total,2018,6420.746,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Equatorial Guinea,Total population,Total,2018,1308.975,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Ethiopia,Total population,Total,2018,109224.414,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Eritrea,Total population,Total,2018,3452.786,Thousands,Persons,,,,,,,,UNPD2019,,,,,,Total
