,country,country_code,violence,protests,battles,development,explosion,riots,population,asylum,hiv,smoking_death
0,Afghanistan,AFG,332,216,9549,263,3770,10,37171.921,334,91.38,4.08
1,Algeria,DZA,27,508,16,76,7,67,42228.407999999996,6,85.02,11.08
2,Angola,AGO,19,37,4,7,1,3,30809.787,8,740,4.78
3,Armenia,ARM,11,300,1317,15,36,25,2951.745,15,89.96,17.22
4,Bosnia and Herzegovina,BIH,10,215,1,24,16,13,3323.925,2,94.84,22.92
5,Burkina Faso,BFA,120,85,81,63,19,30,19751.466,6,453.2,1.83
6,Burundi,BDI,658,85,42,52,51,59,11175.374,60,434.44,3.34
7,Cameroon,CMR,307,26,265,87,18,14,25216.267000000003,25,1100,2.74
8,Central African Republic,CAF,235,22,215,127,5,24,4666.3679999999995,13,463.87,3.93
9,Chad,TCD,16,10,28,13,11,5,15477.729,3,489.36,1.13
10,Egypt,EGY,49,71,166,34,166,11,98423.59800000001,15,92.57,13.88
11,Ethiopia,ETH,265,288,142,96,8,93,109224.414,134,1000,1.76
12,Indonesia,IDN,66,681,41,16,6,82,267670.543,5,1800,13.85
13,Israel,ISR,14,159,10,43,328,42,8381.516,1,88.4,13.34
14,Jordan,JOR,3,61,3,12,2,9,9965.318000000001,3,82.2,12.13
15,Kenya,KEN,118,137,85,30,24,140,51392.565,6,3100,3.39
16,Lebanon,LBN,8,100,33,31,10,33,6859.408,9,98.8,19.08
17,Libya,LBY,113,114,248,69,227,17,6678.559,7,99.69,7.98
18,Mali,MLI,264,54,203,97,113,19,19077.749,15,408.01,1.4
19,Mozambique,MOZ,73,11,17,23,1,20,29496.004,13,4300,3.82
20,Myanmar,MMR,123,227,456,63,166,19,53708.32,41,550,16.61
21,Nepal,NPL,17,368,4,31,25,106,28095.714,13,87.4,12.89
22,Niger,NER,64,23,41,29,5,6,22442.822,2,99.49,0.94
23,Nigeria,NGA,705,427,474,117,100,213,195874.68300000002,92,3700,0.85
24,Pakistan,PAK,319,5250,315,97,190,442,212228.28600000002,77,187.15,9.08
25,Philippines,PHL,975,151,463,104,92,1,106651.394,8,424.14,14.06
26,Rwanda,RWA,7,4,3,6,1,1,12301.97,13,424.75,5.56
27,Somalia,SOM,610,109,1250,193,621,40,15008.226,58,82.1,3.35
28,South Africa,ZAF,34,527,6,8,1,463,57792.518,2,5300,6.3
29,South Sudan,SSD,327,15,441,88,14,12,10975.927,6,447.35,2.45
30,Sri Lanka,LKA,35,427,8,27,2,89,21228.763,19,89.98,10.07
31,Sudan,SDN,298,152,153,64,30,54,41801.532999999996,52,87.48,1.37
32,Thailand,THA,170,83,149,101,90,2,69428.453,1,405.23,12.03
33,Tunisia,TUN,12,384,20,29,22,248,11565.201000000001,2,84.57,16.2
34,Uganda,UGA,101,75,19,37,1,130,42729.03599999999,10,2200,2.39
35,Ukraine,UKR,126,975,8021,482,5108,128,44246.155999999995,38,93.01,16.97
36,Yemen,YEM,419,322,3457,333,6272,60,28498.682999999997,25,81.46,7.61
37,Zimbabwe,ZWE,153,69,9,19,2,92,14438.802,22,2400,7.41
