,Base Country,Base Country Lat,Base Country Lng,Relation Country,Relation Country Lat,Relation Country Lng,Men,Women,Children,Sex Trafficking,Forced Labor,Debt Bondage,Description
0,Afghanistan,33.93911,67.709953,India,20.593684,78.96288,1,1,1,0,1,0," Men, women, and children in Afghanistan often pay intermediaries to assist them in finding employment, primarily in Iran, Pakistan, India, Europe, or North America; some of these intermediaries force Afghans into labor or prostitution"
1,Afghanistan,33.93911,67.709953,Tajikistan,38.861034,71.276093,0,1,1,1,0,0," There were reports of women and girls from the Philippines, Pakistan, Iran, Tajikistan, Sri Lanka, and China subjected to sex trafficking in Afghanistan"
2,Afghanistan,33.93911,67.709953,Sri Lanka,7.873053999999999,80.77179699999999,0,1,1,1,0,0," There were reports of women and girls from the Philippines, Pakistan, Iran, Tajikistan, Sri Lanka, and China subjected to sex trafficking in Afghanistan"
3,Afghanistan,33.93911,67.709953,Philippines,12.879721,121.774017,0,1,1,1,0,0," There were reports of women and girls from the Philippines, Pakistan, Iran, Tajikistan, Sri Lanka, and China subjected to sex trafficking in Afghanistan"
4,Afghanistan,33.93911,67.709953,Pakistan,30.375321,69.34511599999999,0,1,1,1,0,0," There were reports of women and girls from the Philippines, Pakistan, Iran, Tajikistan, Sri Lanka, and China subjected to sex trafficking in Afghanistan"
5,Afghanistan,33.93911,67.709953,Iran,32.427908,53.688046,0,1,1,1,0,0," There were reports of women and girls from the Philippines, Pakistan, Iran, Tajikistan, Sri Lanka, and China subjected to sex trafficking in Afghanistan"
6,Afghanistan,33.93911,67.709953,Syria,34.80207499999999,38.996815,0,0,1,0,0,0," Reportedly, the Iranian government and the Islamic Revolutionary Guards Corps (IRGC) coerce male Afghan migrants, including boys as young as 12, to fight in Syria in IRGC-organized and commanded militias, by threatening them with arrest and deportation to Afghanistan"
7,Afghanistan,33.93911,67.709953,Iran,32.427908,53.688046,0,0,1,0,0,0," Reportedly, the Iranian government and the Islamic Revolutionary Guards Corps (IRGC) coerce male Afghan migrants, including boys as young as 12, to fight in Syria in IRGC-organized and commanded militias, by threatening them with arrest and deportation to Afghanistan"
8,Afghanistan,33.93911,67.709953,Greece,39.074208,21.824312,0,0,1,1,0,0, Some Afghan boys are subjected to sex trafficking in Greece after paying high fees to be smuggled into the country
9,Afghanistan,33.93911,67.709953,China,35.86166,104.195397,0,1,1,1,0,0," There were reports of women and girls from the Philippines, Pakistan, Iran, Tajikistan, Sri Lanka, and China subjected to sex trafficking in Afghanistan"
10,Afghanistan,33.93911,67.709953,Pakistan,30.375321,69.34511599999999,1,0,1,0,1,1," Afghan boys and men are subjected to forced labor and debt bondage in agriculture and construction, primarily in Iran, Pakistan, Greece, Turkey, and the Gulf states"
11,Afghanistan,33.93911,67.709953,Turkey,38.963745,35.243322,1,0,1,0,1,1," Afghan boys and men are subjected to forced labor and debt bondage in agriculture and construction, primarily in Iran, Pakistan, Greece, Turkey, and the Gulf states"
12,Afghanistan,33.93911,67.709953,Pakistan,30.375321,69.34511599999999,1,1,1,0,1,0," Men, women, and children in Afghanistan often pay intermediaries to assist them in finding employment, primarily in Iran, Pakistan, India, Europe, or North America; some of these intermediaries force Afghans into labor or prostitution"
13,Afghanistan,33.93911,67.709953,India,20.593684,78.96288,0,1,1,1,1,0," Afghan women and girls are subjected to sex trafficking and domestic servitude primarily in Pakistan, Iran, and India, including through forced marriages in Iran and Pakistan"
14,Afghanistan,33.93911,67.709953,Iran,32.427908,53.688046,0,1,1,1,1,0," Afghan women and girls are subjected to sex trafficking and domestic servitude primarily in Pakistan, Iran, and India, including through forced marriages in Iran and Pakistan"
15,Afghanistan,33.93911,67.709953,Iran,32.427908,53.688046,1,1,1,0,1,0," Men, women, and children in Afghanistan often pay intermediaries to assist them in finding employment, primarily in Iran, Pakistan, India, Europe, or North America; some of these intermediaries force Afghans into labor or prostitution"
16,Afghanistan,33.93911,67.709953,Greece,39.074208,21.824312,1,0,1,0,1,1," Afghan boys and men are subjected to forced labor and debt bondage in agriculture and construction, primarily in Iran, Pakistan, Greece, Turkey, and the Gulf states"
17,Afghanistan,33.93911,67.709953,Iran,32.427908,53.688046,1,0,1,0,1,1," Afghan boys and men are subjected to forced labor and debt bondage in agriculture and construction, primarily in Iran, Pakistan, Greece, Turkey, and the Gulf states"
18,Afghanistan,33.93911,67.709953,Pakistan,30.375321,69.34511599999999,0,1,1,1,1,0," Afghan women and girls are subjected to sex trafficking and domestic servitude primarily in Pakistan, Iran, and India, including through forced marriages in Iran and Pakistan"
19,Albania,41.153332,20.168331,Kosovo,42.6026359,20.902977,0,0,1,0,1,0, NGOs report an increase in the number of Albanian children subjected to forced labor in Kosovo and the United Kingdom
20,Albania,41.153332,20.168331,United Kingdom,55.378051,-3.435973,0,0,1,0,1,0, NGOs report an increase in the number of Albanian children subjected to forced labor in Kosovo and the United Kingdom
21,Algeria,28.033886,1.659626,Mali,17.570692,-3.996166,1,1,1,0,1,0," Tuareg and Maure smugglers and traffickers in northern Mali and southern Algeria force or coerce men to work as masons or mechanics; women to wash dishes, clothes, and cars; and children to draw water from wells in southern Algeria"
22,Algeria,28.033886,1.659626,Niger,17.607789,8.081666,0,0,1,0,1,0," Nigerien female migrants begging in Algeria, who often carry childrenŠsometimes rented from their mothers in NigerŠmay be forced labor victims"
23,Algeria,28.033886,1.659626,Niger,17.607789,8.081666,0,0,1,0,1,0," Nigerien children, ranging from 4 to 8 years old, are brought to Algeria by trafficking networks with the consent of their parents and forced to beg for several months in Algeria before being returned to their families in Niger"
24,Angola,-11.202692,17.873887,Namibia,-22.95764,18.49041,0,1,0,1,0,0,"Women from Namibia, the DRC, Vietnam, and Brazil engaged in prostitution in Angola may be victims of sex trafficking"
25,Angola,-11.202692,17.873887,Vietnam,14.058324,108.277199,0,1,0,1,0,0,"Women from Namibia, the DRC, Vietnam, and Brazil engaged in prostitution in Angola may be victims of sex trafficking"
26,Angola,-11.202692,17.873887,Brazil,-14.235004,-51.92528,0,1,0,1,0,0,"Women from Namibia, the DRC, Vietnam, and Brazil engaged in prostitution in Angola may be victims of sex trafficking"
27,Angola,-11.202692,17.873887,South Africa,-30.559482,22.937506,0,1,1,1,0,0," Angolan women and children are subjected to domestic servitude and sex trafficking in South Africa, Namibia, and European countries, including the Netherlands and Portugal"
28,Angola,-11.202692,17.873887,Netherlands,52.132633,5.291265999999999,0,1,1,1,0,0," Angolan women and children are subjected to domestic servitude and sex trafficking in South Africa, Namibia, and European countries, including the Netherlands and Portugal"
29,Angola,-11.202692,17.873887,Namibia,-22.95764,18.49041,0,1,1,1,0,0," Angolan women and children are subjected to domestic servitude and sex trafficking in South Africa, Namibia, and European countries, including the Netherlands and Portugal"
30,Angola,-11.202692,17.873887,Namibia,-22.95764,18.49041,0,0,1,0,1,0," Some Angolan boys are taken to Namibia for forced labor in cattle herding, while others are forced to serve as 73ANTIGUA AND BARBUDAcouriers to transport illicit goods, as part of a scheme to skirt import fees in cross-border trade with Namibia"
31,Angola,-11.202692,17.873887,Portugal,39.39987199999999,-8.224454,0,1,1,1,0,0," Angolan women and children are subjected to domestic servitude and sex trafficking in South Africa, Namibia, and European countries, including the Netherlands and Portugal"
32,Argentina,-38.416097,-63.61667199999999,Bolivia,-16.290154,-63.58865299999999,0,1,1,1,0,0," Argentine women and children are subjected to sex trafficking within the country, as are women and children from other Latin American countries, particularly Dominican Republic, Paraguay, Bolivia, Uruguay, and Brazil"
33,Argentina,-38.416097,-63.61667199999999,Brazil,-14.235004,-51.92528,0,1,1,1,0,0," Argentine women and children are subjected to sex trafficking within the country, as are women and children from other Latin American countries, particularly Dominican Republic, Paraguay, Bolivia, Uruguay, and Brazil"
34,Argentina,-38.416097,-63.61667199999999,Dominican Republic,18.735693,-70.162651,0,1,1,1,0,0," Argentine women and children are subjected to sex trafficking within the country, as are women and children from other Latin American countries, particularly Dominican Republic, Paraguay, Bolivia, Uruguay, and Brazil"
35,Argentina,-38.416097,-63.61667199999999,Paraguay,-23.442503,-58.443832,0,1,1,1,0,0," Argentine women and children are subjected to sex trafficking within the country, as are women and children from other Latin American countries, particularly Dominican Republic, Paraguay, Bolivia, Uruguay, and Brazil"
36,Argentina,-38.416097,-63.61667199999999,Uruguay,-32.522779,-55.765835,0,1,1,1,0,0," Argentine women and children are subjected to sex trafficking within the country, as are women and children from other Latin American countries, particularly Dominican Republic, Paraguay, Bolivia, Uruguay, and Brazil"
37,Argentina,-38.416097,-63.61667199999999,Bolivia,-16.290154,-63.58865299999999,1,1,1,0,1,0," Men, women, and children from Argentina, Bolivia, Paraguay, Peru, and other countries are subjected to forced labor in a variety of sectors, including sweatshops, agriculture, street vending, charcoal and brick production, domestic work, and small businesses"
38,Argentina,-38.416097,-63.61667199999999,Paraguay,-23.442503,-58.443832,1,1,1,0,1,0," Men, women, and children from Argentina, Bolivia, Paraguay, Peru, and other countries are subjected to forced labor in a variety of sectors, including sweatshops, agriculture, street vending, charcoal and brick production, domestic work, and small businesses"
39,Argentina,-38.416097,-63.61667199999999,Peru,-9.189967,-75.015152,1,1,1,0,1,0," Men, women, and children from Argentina, Bolivia, Paraguay, Peru, and other countries are subjected to forced labor in a variety of sectors, including sweatshops, agriculture, street vending, charcoal and brick production, domestic work, and small businesses"
40,Armenia,40.069099,45.038189,United Arab Emirates,23.424076,53.847818,0,1,1,1,0,0," Armenians are subjected to labor trafficking in Russia, the United Arab Emirates (UAE), and Turkey; Armenian women and children are subjected to sex trafficking in the UAE and Turkey"
41,Armenia,40.069099,45.038189,Russia,61.52401,105.318756,0,1,1,1,0,0," Armenians are subjected to labor trafficking in Russia, the United Arab Emirates (UAE), and Turkey; Armenian women and children are subjected to sex trafficking in the UAE and Turkey"
42,Armenia,40.069099,45.038189,Turkey,38.963745,35.243322,0,1,1,1,0,0," Armenians are subjected to labor trafficking in Russia, the United Arab Emirates (UAE), and Turkey; Armenian women and children are subjected to sex trafficking in the UAE and Turkey"
43,Aruba,12.52111,-69.968338,Venezuela,6.42375,-66.58973,1,1,0,1,1,0," Venezuelan women are subjected to sex trafficking in Aruba, and foreign men and women are vulnerable to forced labor in the service and construction industries"
44,Aruba,12.52111,-69.968338,India,20.593684,78.96288,1,1,0,0,1,0," Chinese men and women working in supermarkets, Indian men in the retail sector and domestic service, and Caribbean and South American women in domestic service are also at risk of forced labor"
45,Azerbaijan,40.143105,47.576927,Russia,61.52401,105.318756,1,0,1,0,1,0," Azerbaijani men and boys are subjected to forced labor in Turkey, Russia, the United Arab Emirates (UAE), and Azerbaijan"
46,Azerbaijan,40.143105,47.576927,Turkey,38.963745,35.243322,1,0,1,0,1,0," Azerbaijani men and boys are subjected to forced labor in Turkey, Russia, the United Arab Emirates (UAE), and Azerbaijan"
47,Azerbaijan,40.143105,47.576927,United Arab Emirates,23.424076,53.847818,1,0,1,0,1,0," Azerbaijani men and boys are subjected to forced labor in Turkey, Russia, the United Arab Emirates (UAE), and Azerbaijan"
48,Azerbaijan,40.143105,47.576927,Malaysia,4.210484,101.975766,0,1,1,1,0,0," Women and children from Azerbaijan are subjected to sex trafficking within the country as well as in Malaysia, Turkey, Russia, Pakistan, and the UAE"
49,Azerbaijan,40.143105,47.576927,Pakistan,30.375321,69.34511599999999,0,1,1,1,0,0," Women and children from Azerbaijan are subjected to sex trafficking within the country as well as in Malaysia, Turkey, Russia, Pakistan, and the UAE"
50,Azerbaijan,40.143105,47.576927,Russia,61.52401,105.318756,0,1,1,1,0,0," Women and children from Azerbaijan are subjected to sex trafficking within the country as well as in Malaysia, Turkey, Russia, Pakistan, and the UAE"
51,Azerbaijan,40.143105,47.576927,Turkey,38.963745,35.243322,0,1,1,1,0,0," Women and children from Azerbaijan are subjected to sex trafficking within the country as well as in Malaysia, Turkey, Russia, Pakistan, and the UAE"
52,Bahrain,26.0667,50.5577,Yemen,15.552727,48.516388,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
53,Bahrain,26.0667,50.5577,Colombia,4.570868,-74.297333,0,1,0,0,1,0," During the reporting period, local press reported women from Russia, Thailand, and Colombia were recruited to Bahrain via social media platforms or Bahrain-based acquaintances with false pretenses of high-paying jobs and subsequently forced into prostitution"
54,Bahrain,26.0667,50.5577,Syria,34.80207499999999,38.996815,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
