Dataflow,Geographic Area,Indicator,Sex,Time Period,Observation Value,Unit Multiplier,Unit of Measure,Observation Status,Observation Confidentaility,Lower Bound,Upper Bound,Weighted Sample Size,Observation Footnote,Series Footnote,Data Source,Citation of or link to the data source,Custodian,Time period activity related to when the data are collected,Reference Period,The period of time for which data are provided,Current Age
Cross-sector Indicators,Afghanistan,Life expectancy,Total,2018,64.486,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Albania,Life expectancy,Total,2018,78.458,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Algeria,Life expectancy,Total,2018,76.693,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Andorra,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Angola,Life expectancy,Total,2018,60.782,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Antigua and Barbuda,Life expectancy,Total,2018,76.885,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Azerbaijan,Life expectancy,Total,2018,72.864,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Argentina,Life expectancy,Total,2018,76.52,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Australia,Life expectancy,Total,2018,83.281,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Austria,Life expectancy,Total,2018,81.434,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Bahamas,Life expectancy,Total,2018,73.752,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Bahrain,Life expectancy,Total,2018,77.163,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Bangladesh,Life expectancy,Total,2018,72.32,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Armenia,Life expectancy,Total,2018,74.945,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Barbados,Life expectancy,Total,2018,79.081,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Belgium,Life expectancy,Total,2018,81.468,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Bhutan,Life expectancy,Total,2018,71.46,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Bolivia (Plurinational State of),Life expectancy,Total,2018,71.239,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Bosnia and Herzegovina,Life expectancy,Total,2018,77.262,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Botswana,Life expectancy,Total,2018,69.275,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Brazil,Life expectancy,Total,2018,75.672,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Belize,Life expectancy,Total,2018,74.496,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Solomon Islands,Life expectancy,Total,2018,72.835,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,British Virgin Islands,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Brunei Darussalam,Life expectancy,Total,2018,75.722,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Bulgaria,Life expectancy,Total,2018,74.928,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Myanmar,Life expectancy,Total,2018,66.867,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Burundi,Life expectancy,Total,2018,61.247,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Belarus,Life expectancy,Total,2018,74.59,Units,Years,,,,,,,,UNPD2019,,,,,,Total
Cross-sector Indicators,Cambodia,Life expectancy,Total,2018,69.57,Units,Years,,,,,,,,UNPD2019,,,,,,Total
